[2026-08-16 22:55:44] 监控启动：CPU≤60% GPU≤95%（间隔 10s）
[2026-08-16 22:56:40] CPU 7.6% | GPU 18.0% 显存 1357MiB
[2026-08-16 23:09:44] CPU 6.9% | GPU 99.0% 显存 24041MiB  <== ALERT GPU 99.0%
[2026-08-16 23:09:55] CPU 6.7% | GPU 99.0% 显存 24046MiB  <== ALERT GPU 99.0%
[2026-08-16 23:10:06] CPU 9.0% | GPU 99.0% 显存 24045MiB  <== ALERT GPU 99.0%
[2026-08-16 23:10:18] CPU 7.8% | GPU 99.0% 显存 24041MiB  <== ALERT GPU 99.0%
[2026-08-16 23:10:29] CPU 8.5% | GPU 99.0% 显存 24041MiB  <== ALERT GPU 99.0%
[2026-08-16 23:10:40] CPU 5.1% | GPU 99.0% 显存 24041MiB  <== ALERT GPU 99.0%
[2026-08-16 23:10:51] CPU 11.6% | GPU 99.0% 显存 24047MiB  <== ALERT GPU 99.0%
[2026-08-16 23:11:02] CPU 6.3% | GPU 99.0% 显存 24043MiB  <== ALERT GPU 99.0%
[2026-08-16 23:11:13] CPU 6.6% | GPU 98.0% 显存 24046MiB  <== ALERT GPU 98.0%
[2026-08-16 23:11:24] CPU 9.1% | GPU 99.0% 显存 24067MiB  <== ALERT GPU 99.0%
[2026-08-16 23:11:35] CPU 6.7% | GPU 99.0% 显存 24067MiB  <== ALERT GPU 99.0%
[2026-08-16 23:11:46] CPU 8.4% | GPU 99.0% 显存 24067MiB  <== ALERT GPU 99.0%
[2026-08-16 23:11:57] CPU 5.6% | GPU 99.0% 显存 24067MiB  <== ALERT GPU 99.0%
[2026-08-16 23:12:08] CPU 6.7% | GPU 91.0% 显存 24067MiB
[2026-08-16 23:12:19] CPU 6.4% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:12:41] CPU 6.4% | GPU 100.0% 显存 24058MiB  <== ALERT GPU 100.0%
[2026-08-16 23:12:52] CPU 8.6% | GPU 99.0% 显存 24058MiB  <== ALERT GPU 99.0%
[2026-08-16 23:13:03] CPU 8.8% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:13:14] CPU 5.6% | GPU 99.0% 显存 24058MiB  <== ALERT GPU 99.0%
[2026-08-16 23:13:25] CPU 8.9% | GPU 99.0% 显存 24058MiB  <== ALERT GPU 99.0%
[2026-08-16 23:13:36] CPU 8.3% | GPU 99.0% 显存 24062MiB  <== ALERT GPU 99.0%
[2026-08-16 23:13:58] CPU 6.6% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:14:09] CPU 8.2% | GPU 98.0% 显存 24052MiB  <== ALERT GPU 98.0%
[2026-08-16 23:14:20] CPU 9.1% | GPU 98.0% 显存 24048MiB  <== ALERT GPU 98.0%
[2026-08-16 23:14:31] CPU 6.6% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:14:43] CPU 9.9% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:14:54] CPU 7.1% | GPU 99.0% 显存 24058MiB  <== ALERT GPU 99.0%
[2026-08-16 23:15:05] CPU 8.6% | GPU 99.0% 显存 24058MiB  <== ALERT GPU 99.0%
[2026-08-16 23:15:16] CPU 9.2% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
[2026-08-16 23:15:27] CPU 5.3% | GPU 100.0% 显存 24059MiB  <== ALERT GPU 100.0%
[2026-08-16 23:15:38] CPU 6.4% | GPU 100.0% 显存 24057MiB  <== ALERT GPU 100.0%
[2026-08-16 23:15:49] CPU 7.9% | GPU 99.0% 显存 24058MiB  <== ALERT GPU 99.0%
[2026-08-16 23:16:00] CPU 6.6% | GPU 98.0% 显存 24058MiB  <== ALERT GPU 98.0%
[2026-08-16 23:16:11] CPU 5.5% | GPU 98.0% 显存 24058MiB  <== ALERT GPU 98.0%
[2026-08-16 23:16:22] CPU 8.5% | GPU 98.0% 显存 24058MiB  <== ALERT GPU 98.0%
[2026-08-16 23:16:33] CPU 6.5% | GPU 98.0% 显存 24059MiB  <== ALERT GPU 98.0%
[2026-08-16 23:16:44] CPU 8.7% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:16:55] CPU 8.2% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:17:06] CPU 8.2% | GPU 98.0% 显存 24059MiB  <== ALERT GPU 98.0%
[2026-08-16 23:17:17] CPU 12.0% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:17:28] CPU 7.9% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:17:39] CPU 9.1% | GPU 98.0% 显存 24053MiB  <== ALERT GPU 98.0%
[2026-08-16 23:17:50] CPU 9.9% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
[2026-08-16 23:18:01] CPU 5.7% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
[2026-08-16 23:18:12] CPU 7.4% | GPU 99.0% 显存 24064MiB  <== ALERT GPU 99.0%
[2026-08-16 23:18:23] CPU 8.1% | GPU 99.0% 显存 24060MiB  <== ALERT GPU 99.0%
[2026-08-16 23:18:45] CPU 13.9% | GPU 99.0% 显存 24063MiB  <== ALERT GPU 99.0%
[2026-08-16 23:18:57] CPU 8.6% | GPU 100.0% 显存 24059MiB  <== ALERT GPU 100.0%
[2026-08-16 23:19:08] CPU 7.8% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:19:19] CPU 7.4% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:19:30] CPU 10.2% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:19:41] CPU 7.1% | GPU 99.0% 显存 24063MiB  <== ALERT GPU 99.0%
[2026-08-16 23:19:52] CPU 7.0% | GPU 99.0% 显存 24053MiB  <== ALERT GPU 99.0%
[2026-08-16 23:20:03] CPU 7.5% | GPU 98.0% 显存 24052MiB  <== ALERT GPU 98.0%
[2026-08-16 23:20:14] CPU 6.8% | GPU 98.0% 显存 24058MiB  <== ALERT GPU 98.0%
[2026-08-16 23:20:25] CPU 8.0% | GPU 99.0% 显存 24059MiB  <== ALERT GPU 99.0%
[2026-08-16 23:20:36] CPU 9.9% | GPU 98.0% 显存 24059MiB  <== ALERT GPU 98.0%
